1   0.11%	0.15%	0.13%	0.20%	0.25%	0.26%	0.23%
2   0.14%	0.16%	0.21%	0.26%	0.27%	0.26%	0.26%
3   0.15%	0.17%	0.20%	0.26%	0.30%	0.31%	0.27%
4   0.15%	0.20%	0.23%	0.28%	0.33%	0.34%	0.30%
5   0.18%	0.20%	0.25%	0.28%	0.35%	0.36%	0.33%
6   0.18%	0.22%	0.27%	0.32%	0.37%	0.39%	0.35%
7   0.18%	0.22%	0.28%	0.35%	0.39%	0.39%	0.37%
8   0.22%	0.24%	0.28%	0.35%	0.41%	0.42%	0.39%
9   0.24%	0.26%	0.29%	0.35%	0.42%	0.44%	0.40%
10  0.22%	0.25%	0.30%	0.37%	0.46%	0.51%	0.49%
